Num;Country;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;Active Cases;Serious Critical;Total Cases per 1M pop;Deaths per 1M pop;Total Tests;Tests per 1M pop;Population 
125;Gambia;2895;;96;;751;2048;;1193;40;1246;5134;2427037
126;Slovenia;2865;31;133;;2283;449;2;1378;64;158236;76112;2078985
127;Uganda;2847;;29;;1288;153;;62;0.6;367423;7995;45959067
128;Lithuania;2839;;86;;1833;920;5;1045;32;634751;233729;2715752
129;Mali;2757;;126;;2121;510;;136;6;3697;1818;20339705
130;Syria;2628;;106;;599;1923;;150;6;;;17566394
131;Angola;2551;;107;;1041;1403;24;77;3;64747;1961;33020849
132;South Sudan;2519;;47;;129;1182;;225;4;12044;1074;11214816
133;Estonia;2373;10;64;;2088;221;;1789;48;147902;111483;1326683
134;Guinea-Bissau;2205;;34;;1127;1044;5;1116;17;15;759;1975208
135;Benin;2145;;40;;1738;367;;176;3;118206;9711;12171998
136;Bahamas;2135;;50;;782;1303;83;5421;127;11037;28023;393852
137;Jamaica;2113;102;20;1;890;1203;4;713;7;57075;19261;2963288
138;Iceland;21;;10;;1979;111;;6147;29;212169;621096;341604
139;Sierra Leone;2019;;70;;1591;358;;252;9;;;8002382
140;Aruba;1975;;10;;765;12;7;18486;94;20869;195329;10684
141;Yemen;1946;;563;;1113;270;;65;19;120;4;29928272
142;Jordan;1893;;15;;1447;431;3;185;1;810061;79266;10219498
143;Malta;1847;;11;;1244;592;;4181;25;186644;422523;441737
144;New Zealand;1729;2;22;;157;137;10;346;4;750808;150099;5002100
145;Trinidad and Tobago;1645;;19;;894;732;5;1175;14;23429;16732;1400234
146;Botswana;1633;;6;;224;1403;1;692;3;109547;46437;2359065
147;Uruguay;157;;44;;1364;162;3;452;13;171237;49267;3475711
148;Reunion;1557;;6;;880;671;2;1737;7;35419;39515;896353
149;Cyprus;1483;;20;;935;528;5;1227;17;286736;237209;1208790
150;Georgia;1469;7;19;;1221;229;;368;5;355486;89141;3987889
151;Latvia;1393;12;34;;1163;196;1;740;18;250709;133169;1882635
